Iteration,Bacterium Count,Cyanobacteria Count,Cyanobacteria Movement Speed,Cyanobacteria Size,Cyanobacteria Mutation Chance,Cyanobacteria Metabolic Cost,Cyanobacteria Nutrition Efficiency,Cyanobacteria Reproductive Fervor,Cyanobacteria Lifespan,Cyanobacteria Evasiveness,Amoeba Count,Amoeba Movement Speed,Amoeba Size,Amoeba Mutation Chance,Amoeba Sensory Focus,Amoeba Metabolic Cost,Amoeba Attack Strength,Amoeba Reproductive Fervor,Amoeba Lifespan,Time Stamp
1,21,21,1.058335,0.9796913,1.065875,1.076703,1.056093,1.056806,1.022145,0.9828994,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
2,21,21,1.058335,0.9796913,1.065875,1.076703,1.056093,1.056806,1.022145,0.9828994,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
3,23,23,1.051685,0.9805295,1.064955,1.074289,1.060053,1.050696,1.023248,0.9751397,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
4,25,25,1.050572,0.9826077,1.05625,1.073337,1.058831,1.048064,1.021132,0.9773526,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
5,26,26,1.053702,0.9806179,1.053283,1.077073,1.062939,1.05521,1.01956,0.9745315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
6,27,27,1.056238,0.981056,1.052954,1.080821,1.065526,1.050834,1.017627,0.9748496,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
7,30,30,1.056524,0.9813672,1.061893,1.094763,1.08372,1.044789,1.021521,0.9623336,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
8,30,30,1.058341,0.9812729,1.064332,1.097794,1.084675,1.0489,1.026173,0.9630672,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:52 AM
9,31,31,1.064856,0.9816982,1.061718,1.102527,1.084766,1.052211,1.019885,0.9691774,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
10,32,32,1.06756,0.9760187,1.060802,1.098462,1.082117,1.053958,1.014813,0.9676737,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
11,34,34,1.0736,0.9737267,1.068433,1.100823,1.0804,1.057136,1.014129,0.9720668,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
12,35,35,1.069969,0.9737359,1.070146,1.096264,1.078148,1.058892,1.013463,0.970594,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
13,34,34,1.071495,0.9737858,1.072367,1.098895,1.080447,1.053265,1.012516,0.9700343,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
14,36,36,1.070294,0.9709123,1.067269,1.102315,1.091809,1.049372,1.007295,0.9582886,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
15,36,36,1.070294,0.9709123,1.067269,1.102315,1.091809,1.049372,1.007295,0.9582886,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
16,36,36,1.070294,0.9709123,1.067269,1.102315,1.091809,1.049372,1.007295,0.9582886,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:53 AM
17,38,38,1.069227,0.9713575,1.06654,1.102267,1.092055,1.054321,1.009401,0.957471,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
18,41,41,1.069898,0.973329,1.07252,1.109835,1.101624,1.050685,1.006028,0.9515149,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
19,47,47,1.074857,0.9659814,1.065758,1.119479,1.114832,1.045611,1.008639,0.9382136,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
20,47,47,1.074857,0.9659814,1.065758,1.119479,1.114832,1.045611,1.008639,0.9382136,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
21,49,49,1.076898,0.9652483,1.059329,1.121921,1.116142,1.050707,1.009481,0.9382246,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
22,49,49,1.076898,0.9652483,1.059329,1.121921,1.116142,1.050707,1.009481,0.9382246,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
23,50,50,1.075668,0.9640595,1.056599,1.118747,1.115193,1.053757,1.005891,0.9366727,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:54 AM
24,49,49,1.077589,0.9658877,1.05951,1.123611,1.116985,1.050478,1.009913,0.9387164,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
25,49,49,1.074681,0.9657689,1.067327,1.128305,1.12586,1.041852,1.017612,0.9299592,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
26,48,48,1.072187,0.9662091,1.060945,1.127403,1.127726,1.040347,1.016238,0.926651,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
27,49,49,1.071673,0.9662213,1.060725,1.126525,1.126298,1.041741,1.018866,0.9272695,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
28,47,47,1.067778,0.9648321,1.062711,1.124594,1.129201,1.037806,1.020797,0.9200843,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
29,45,45,1.067435,0.9660699,1.06089,1.130496,1.135224,1.034203,1.027998,0.9160811,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
30,45,45,1.072333,0.9703943,1.062372,1.139411,1.137497,1.03397,1.02604,0.9233964,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:55 AM
31,42,42,1.067772,0.9749405,1.056484,1.146403,1.147705,1.03517,1.031669,0.9152395,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:56 AM
32,42,42,1.067772,0.9749405,1.056484,1.146403,1.147705,1.03517,1.031669,0.9152395,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:56 AM
33,45,45,1.071064,0.9793743,1.057611,1.156058,1.155246,1.032554,1.024509,0.9157239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:56 AM
34,43,43,1.065534,0.9799811,1.062836,1.154619,1.158239,1.028517,1.029498,0.9092805,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023-01-24 7:24:56 AM
35,43,39,1.063448,0.9748095,1.06144,1.162715,1.176922,1.026791,1.027195,0.8910617,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:56 AM
36,43,39,1.063448,0.9748095,1.06144,1.162715,1.176922,1.026791,1.027195,0.8910617,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:56 AM
37,44,40,1.066326,0.9755567,1.063814,1.168042,1.181156,1.024587,1.023703,0.8907741,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:56 AM
38,47,43,1.066339,0.9768103,1.067288,1.176727,1.189418,1.016314,1.030189,0.8862216,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:57 AM
39,47,43,1.067738,0.9805489,1.065056,1.179663,1.189521,1.01591,1.02502,0.890928,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:57 AM
40,45,41,1.065362,0.9839836,1.06899,1.18238,1.191386,1.014496,1.029804,0.891369,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:57 AM
41,47,43,1.065833,0.9878656,1.07664,1.189075,1.196858,1.006581,1.027517,0.8906597,4,1.007794,0.9960988,0.9998409,1.005607,0.1510421,0.6625235,1.000398,1.003722,2023-01-24 7:24:57 AM
42,46,44,1.064388,0.9842128,1.072916,1.184598,1.194124,1.013308,1.03242,0.8879182,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:57 AM
43,47,45,1.070773,0.9932173,1.074551,1.194235,1.193389,1.01251,1.022701,0.9020379,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:57 AM
44,46,44,1.064556,0.9912665,1.071842,1.191662,1.19732,1.019355,1.031074,0.89291,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:57 AM
45,46,44,1.064556,0.9912665,1.071842,1.191662,1.19732,1.019355,1.031074,0.89291,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
46,46,44,1.057148,0.9880713,1.072516,1.188874,1.203409,1.01515,1.038645,0.8820665,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
47,46,44,1.057148,0.9880713,1.072516,1.188874,1.203409,1.01515,1.038645,0.8820665,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
48,45,43,1.068903,0.9968905,1.075166,1.208369,1.210249,1.008657,1.030036,0.8921194,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
49,45,43,1.068903,0.9968905,1.075166,1.208369,1.210249,1.008657,1.030036,0.8921194,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
50,46,44,1.070346,1.001844,1.08097,1.215097,1.213246,1.004964,1.028107,0.8951399,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
51,43,41,1.072327,1.001137,1.082206,1.21822,1.21739,0.9984325,1.021431,0.8923481,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
52,42,40,1.070645,1.000118,1.092267,1.216962,1.219391,0.9947109,1.019471,0.888841,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
53,46,44,1.07288,1.004125,1.083527,1.219343,1.214604,1.008013,1.024251,0.8967188,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:58 AM
54,44,42,1.071125,1.002457,1.07947,1.217508,1.21477,1.011668,1.026489,0.8940104,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:59 AM
55,43,41,1.073493,1.003529,1.07555,1.222788,1.218876,1.006463,1.024825,0.8940539,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:59 AM
56,44,42,1.072133,1.001155,1.078614,1.2183,1.214947,1.003644,1.029735,0.893521,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:59 AM
57,44,42,1.072133,1.001155,1.078614,1.2183,1.214947,1.003644,1.029735,0.893521,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:59 AM
58,43,41,1.072343,0.9993708,1.083569,1.219744,1.219329,1.005981,1.026431,0.8883967,2,1.003296,0.9955941,0.9982495,1.009154,0.1508173,0.6592227,0.9838433,1.008856,2023-01-24 7:24:59 AM
